Gene.Symbol,log2_Parental,log2_DTP,ENTREZID
CTH,22.79894114,23.12422476,1491
CTPS1,24.47091706,24.53654526,1503
CTPS2,22.37709182,22.55821739,56474
CTSA,24.51638665,24.4030846,5476
CYB5R1,23.74533711,24.16436417,51706
CYB5R2,22.22763537,22.62217365,51700
CYB5R3,23.78820994,24.41420942,1727
CYC1,24.25885361,23.78996873,1537
CYP1B1,18.07920739,18.6495537,1545
CYP27A1,20.55945614,21.20986329,1593
CYP2J2,16.7654998,17.17005105,1573
CYP2S1,21.25482986,21.70292984,29785
CYP2U1,18.87025699,19.21507733,113612
CYP4X1,17.01438475,17.90015326,260293
CYP51A1,23.03949227,22.69906829,1595
CYP7B1,17.05070296,17.10065856,9420
DAGLA,12.86069715,13.10307617,747
DAGLB,22.09582005,22.67638821,221955
DCK,22.05289142,22.4019444,1633
DCTD,20.02695831,19.59838913,1635
DCTPP1,20.80731533,20.45616397,79077
DCXR,18.94801097,18.85798253,51181
DECR1,24.87396763,25.44216292,1666
DECR2,22.14883648,23.02294881,26063
DEGS1,19.45391599,19.66795437,8560
DGAT1,20.06014472,20.73517209,8694
DGAT2,18.53961145,18.36211917,84649
DGKA,22.60732474,22.90988856,1606
DGKD,20.57024847,20.33589917,8527
DGKE,21.89308535,21.97961653,8526
DGKH,20.57588412,20.74730369,160851
DGKQ,17.65832928,17.75928314,1609
DGKZ,19.06739148,19.09065995,8525
DGUOK,17.36738124,17.21892455,1716
DHCR24,23.16124101,23.61289312,1718
DHCR7,24.16843054,24.63493582,1717
DHFR,22.3193923,21.10216048,1719
DHODH,21.85024043,21.71691061,1723
DHRS2,19.34251131,18.83379736,10202
DHRS3,21.30679233,21.5181627,9249
DHRS4,21.98151763,22.03934921,10901
DHRS9,20.53439836,20.18566476,10170
DLAT,25.00333353,24.97461266,1737
DLD,24.97077373,25.24641588,1738
DLST,25.95040416,26.46881927,1743
DOT1L,17.17528343,16.28496907,84444
DPYSL2,25.05024033,25.53743054,1808
DPYSL3,20.65758577,20.61319266,1809
DTYMK,24.1449695,24.00605693,1841
DUT,19.53580904,18.6875439,1854
DUT,18.9914008,19.32610051,1854
ECH1,23.81378796,23.93420515,1891
ECHS1,24.9621886,25.37676941,1892
ECI1,23.14767467,23.57950397,1632
ECI2,22.58117051,23.14791756,10455
EHHADH,22.75299789,23.0730536,1962
EHMT1,17.62521019,17.0247738,79813
EHMT2,22.70978778,22.24669884,10919
ELOVL1,20.16754462,20.23275912,64834
ELOVL5,22.04765906,21.89156629,60481
ELOVL6,19.57705907,19.58799039,79071
ENO1,24.82841959,25.01856037,2023
ENO1,26.7857361,26.75129935,2023
ENO1,21.99072778,22.37807596,2023
ENO2,19.97010948,20.11147134,2026
ENO2,22.89063505,23.46218568,2026
ENOPH1,22.53006309,22.65485831,58478
ENPP1,20.1827568,20.08741454,5167
ENTPD2,19.48374517,18.84334262,954
ENTPD3,20.53461546,21.1287987,956
ENTPD5,20.342226,20.41361383,957
ENTPD6,19.88817584,19.76590075,955
ENTPD6,18.20870013,18.669308,955
EPHX2,22.77060283,23.2510979,2053
ESD,24.39551206,24.71645095,2098
ETFA,24.79118455,25.15749321,2108
ETFB,25.22005763,25.69280216,2109
ETFDH,21.36973391,21.48196261,2110
ETNK1,22.43559378,21.90947445,55500
EXT1,21.6952019,21.55633597,2131
EXT2,22.35245372,22.32640064,2132
EXTL3,18.63566549,18.43563148,2137
FABP3,20.52198873,20.64136939,2170
FABP4,19.90561916,20.68077045,2167
FABP5,25.54435003,25.45438076,2171
FADS1,16.10115079,15.64778669,3992
FADS1,18.74354539,18.52681641,3992
FADS2,23.94761519,22.43844421,9415
FADS3,21.26443464,21.80287947,3995
FAH,22.11916261,22.31369124,2184
FAM20B,20.52246556,20.45999572,9917
FASN,27.3321267,27.02259665,2194
FBP1,20.82728463,21.78815202,2203
FCSK,19.27419387,19.59045591,197258
FDFT1,21.79614806,21.95866343,2222
FDPS,22.99436661,23.59149469,2224
FECH,22.70058483,23.12118291,2235
FGGY,18.52713782,18.71679454,55277
FH,27.2502793,27.44715579,2271
FIG4,19.67845809,19.99100533,9896
FLAD1,23.13280286,23.39467978,80308
FLVCR1,21.68841999,21.09993319,28982
FN3K,22.04874205,22.50408853,64122
FN3KRP,23.37711931,23.63968082,79672
FOLR1,17.61652838,18.23582931,2348
FPGS,19.86666888,19.58766626,2356
FPGT,21.30282208,21.16735608,8790
FTH1,19.03038072,19.64419674,2495
FUCA1,15.80579771,15.65893512,2517
FUCA2,21.64538715,21.44546092,2519
FUT1,13.89916814,14.55974557,2523
FUT11,20.4007984,19.87903158,170384
G6PC3,19.05438637,18.96412295,92579
G6PD,26.0825943,26.40339426,2539
GAA,22.70496487,22.73019844,2548
GAD1,19.91985593,19.94686592,2571
GALE,22.87238028,22.94636947,2582
GALK1,23.93142814,24.04327855,2584
GALK2,22.75966198,22.61751211,2585
GALNS,19.89757429,20.34135255,2588
GALNT1,20.6573626,21.12722682,2589
GALNT10,21.09655699,20.8251384,55568
GALNT11,18.3813512,18.26108175,63917
GALNT12,21.60640222,21.74269655,79695
GALNT14,19.27383409,19.1006889,79623
GALNT2,24.57944421,24.60400968,2590
GALNT3,24.02410995,24.06362447,2591
GALNT4,20.29812636,20.20770392,8693
GALNT6,23.35744412,23.29549982,11226
GALNT7,24.37075177,24.21117594,51809
GALT,19.06323544,19.07283547,2592
GAMT,21.91253244,21.9874151,2593
GANC,17.96368808,18.59833555,2595
GAPDH,29.11403871,29.24466693,2597
GART,26.70729185,26.41348309,2618
GBA1,22.24009694,22.91563516,2629
GBA2,21.07281191,20.82049624,57704
GBE1,24.23840571,24.17506116,2632
GCAT,20.13374028,20.49862372,23464
GCDH,24.02550487,23.83443406,2639
GCH1,18.94169376,19.35129164,2643
GCK,14.83293535,15.14430953,2645
GCLC,22.77529415,22.85841938,2729
GCLM,21.99617564,21.79108561,2730
GCNT2,19.11338516,18.92446417,2651
GCSH,17.75562796,17.93670588,2653
GDA,18.72146166,18.81805412,9615
GFPT1,24.78718858,25.09940419,2673
GFPT2,20.5346867,21.35269558,9945
GFUS,24.82645507,25.04215982,7264
GGCT,22.36302418,22.8116392,79017
GGH,21.40338929,22.05508598,8836
GGPS1,19.36466794,19.86669504,9453
