Reaction,WT_Mean,WT_SEM,WT_Norm_CI_Low,WT_Norm_CI_High,WT_Perc_CI_Low,WT_Perc_CI_High,KO_Mean,KO_SEM,KO_Norm_CI_Low,KO_Norm_CI_High,KO_Perc_CI_Low,KO_Perc_CI_High
ACACT5p,3.89714669762219,0.062177151904493,3.77527947988938,4.019013915355,0.464363882668053,8.04658616742007,4.37070806738469,0.0750057973506417,4.22369670457743,4.51771943019194,0.495140224713794,9.74259443913896
ACACT8p,3.21907402110856,0.137871866485859,2.94884516279628,3.48930287942084,0.0493301240341957,15.0894676144848,6.98375937415998,0.216789750888526,6.55885146241847,7.40866728590149,0.249015102556566,28.7247259923969
ACACT9p,2.39760206159028,0.0652990666024447,2.26961589104949,2.52558823213108,0.557346304375831,8.08326980244066,5.55541277084146,0.114975951800106,5.33005990531325,5.78076563636967,0.576547611691713,14.4845222077768
ACALDtx,12.5517329732722,0.334397348139273,11.8963141709193,13.2071517756252,2.42523612515903,40.0940971285789,9.73651424759822,0.221439844771221,9.30249215184663,10.1705363433498,1.16770353955416,28.7874480324625
ACCOALm,11.5553156512455,0.253112835034111,11.0592144945787,12.0514168079124,0.68525942375944,29.1533988521832,21.7408785788578,0.814090216375008,20.1452617547628,23.3364954029528,0.16703134795727,99.0056865396446
ACCOAtr,321.293219091002,26.2833779411767,269.777798326296,372.808639855708,-1562.47573785573,1633.3453115992,-606.145121085898,35.3219158661307,-675.376076183514,-536.914165988282,-2621.37258078033,1387.77971637235
ACETONEt2,0,0,0,0,0,0,0,0,0,0,0,0
ACGAGBSIDEtl,0,0,0,0,0,0,0,0,0,0,0,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0,0,0,0,0,0,0,0,0,0,0,0
ACGALtlg,0,0,0,0,0,0,0,0,0,0,0,0
ACGAMK,76.8792337424186,0.672633592496867,75.5608719011247,78.1975955837125,36.0165421187468,105.726044423862,28.1615150873654,0.335727509942974,27.5034891678771,28.8195410068536,10.5529755205052,45.6140167134998
ACGAMPM,242.421622894743,0.968845456253476,240.522685800486,244.320559989,202.873273205804,313.433356553432,906.048347376392,2.89479978409946,900.374539799557,911.722154953227,569.918710772701,991.449103790504
ACNAMlt,0,0,0,0,0,0,0,0,0,0,0,0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0,0,0,0,0,0,0,0,0,0,0,0
ACOAD10m,7.05641030889992,0.182417796427458,6.6988714279021,7.41394918989773,0.0302364736047229,22.4198517203582,17.084591269147,0.5520301517862,16.002612171646,18.1665703666479,0.0990053804179576,60.5555029954187
ACOAD8m,1.13727210379363e-60,1.57384097985297e-76,1.13727210379363e-60,1.13727210379363e-60,1.13727210379362e-60,1.13727210379362e-60,5.2116815322427e-50,9.01279405009745e-67,5.2116815322427e-50,5.2116815322427e-50,5.2116815322427e-50,5.2116815322427e-50
ACOAD9m,33.2660549114631,0.74760304858076,31.8007529362448,34.7313568866814,0.915977620318841,82.7733698745418,21.1718251831134,0.456403027599158,20.2772752490191,22.0663751172078,0.717283139608796,51.0649279369388
ACOAO7p,151.680931389903,1.25829714970935,149.214668976473,154.147193803333,92.8267074632114,225.60105344436,10.7863549457445,0.252663541073409,10.2911344052406,11.2815754862484,0.445451815173723,28.2346486113187
ACONTm,3032.5534181581,98.2795472105322,2839.92550562545,3225.18133069074,-3951.78561908138,7322.22049572048,3381.34095060987,93.9111434690762,3197.27510941049,3565.40679180926,-3622.42915915334,7621.23706656371
ACP1_FMN,3.04864241846076e-60,4.19690927960791e-76,3.04864241846076e-60,3.04864241846076e-60,3.04864241846077e-60,3.04864241846077e-60,5.08107069743461e-60,4.54665171957524e-76,5.08107069743461e-60,5.08107069743461e-60,5.08107069743462e-60,5.08107069743462e-60
ACS2,4.38305688083653,0.0919011063609159,4.20293071236913,4.56318304930392,0.291436362179932,10.2610343463433,2.91652008411856,0.0720699645149392,2.77526295366928,3.05777721456784,0.111817704237217,7.70904992367665
ACt2r,9.69770280139204,18.333032459499,-26.2350408192261,45.6304464220102,-904.006506088547,861.447432589834,-345.320055249388,17.5615741854838,-379.740740652936,-310.899369845839,-950.133792829008,953.7431421081
ADEt,-7.21145970115823,13.5596844390819,-33.7884412017588,19.3655217994423,-665.088722488123,768.40049517691,-1982.87903348508,0.312165887695105,-1983.49087862496,-1982.26718834519,-1996.9415177279,-1962.32595968858
